img_id,dice,ece,sparsification_error,uncertainty_error_dice,error_auroc,error_auprc
IDRiD_78,0.7708466053009033,0.0024334590416401625,0.9469939635775683,0.222811758518219,0.9866307537975096,0.29943591402583314
IDRiD_74,0.718181312084198,0.0008505677105858922,0.962192472396878,0.199465811252594,0.995854911495624,0.32798131872976827
IDRiD_72,0.8567183017730713,0.0024115496780723333,0.9520718327461006,0.2126588076353073,0.9898651041029768,0.3415285298195451
IDRiD_77,0.6944194436073303,0.003527038963511586,0.9182772632465632,0.08892888575792313,0.9715918633310388,0.3258143947288371
IDRiD_79,0.8510440587997437,0.0059561943635344505,0.9448183135237784,0.04500908777117729,0.9829405212416366,0.3389091395400381
IDRiD_76,0.7359177470207214,0.0022429139353334904,0.9209640055159944,0.15839552879333496,0.9664277152002138,0.20703430502913672
IDRiD_75,0.6985317468643188,0.0007333423709496856,0.9409579257019552,0.1450723111629486,0.9869639350848787,0.2866933365392823
IDRiD_69,0.5547493100166321,0.0038594757206737995,0.841816717022172,0.07348985224962234,0.9468602738835924,0.23562081707619875
IDRiD_71,0.8362261652946472,0.006272478494793177,0.9377944435953715,0.01672874391078949,0.9793151669705026,0.273346907187407
IDRiD_70,0.03413908928632736,0.005636924412101507,0.7975695248664489,0.05630810186266899,0.8748583364953929,0.1579622412841634
IDRiD_73,0.7211029529571533,0.00037685438292101026,0.9656051474332038,0.18922534584999084,0.9976190657751605,0.32730652525978504
IDRiD_80,0.31440138816833496,0.0003591944114305079,0.9357953295942564,0.18083132803440094,0.9790591071782524,0.18573032152878985
IDRiD_81,0.6070271730422974,0.015071215108036995,0.9370412564734516,0.20789673924446106,0.9796021554628731,0.449226715726294
